Drug,SideEffect,OrganClass,Reported,Expected,TimesMoreThanExpected,PRR,ROR,SignalScore,Status,ReferenceSetStatus,PctSerious,PctFatal,PctRechallengePositive,PctClinicianReported,EverFlagged,FirstFlagged
ONDANSETRON,TORSADE DE POINTES,Cardiac,3093,490.2,6.31,12.20,13.44,2.597,Signal,In reference set,82.64,15.71,6.11,67.77,Yes,2021Q1
MONTELUKAST,NIGHTMARE,Psychiatric,6510,1148.5,5.67,11.06,13.34,2.462,Signal,In reference set,83.21,17.14,5.51,66.36,Yes,2019Q3
CIPROFLOXACIN,TENDON RUPTURE,Musculoskeletal,5162,1006.4,5.13,7.63,9.16,2.312,Signal,In reference set,83.15,18.11,6.10,67.34,Yes,2019Q1
FEBUXOSTAT,MYOCARDIAL INFARCTION,Cardiac,3550,688.9,5.15,6.34,7.85,2.309,Signal,In reference set,83.21,16.76,6.48,65.46,Yes,2019Q1
TRAMADOL,RESPIRATORY DEPRESSION,Respiratory,3379,668.4,5.06,7.45,8.36,2.280,Signal,In reference set,81.95,17.02,6.04,66.74,Yes,2021Q1
ATORVASTATIN,RHABDOMYOLYSIS,Musculoskeletal,5808,1172.4,4.95,9.09,10.53,2.265,Signal,In reference set,83.11,17.67,5.60,67.08,Yes,2019Q3
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,3689,761.2,4.85,6.18,7.36,2.222,Signal,In reference set,82.79,17.76,5.56,65.93,Yes,2020Q4
MONTELUKAST,SUICIDAL IDEATION,Psychiatric,8036,1759.0,4.57,7.28,9.13,2.155,Signal,In reference set,83.15,17.56,4.93,65.92,Yes,2019Q3
ONDANSETRON,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,5297,1195.5,4.43,6.44,7.56,2.102,Signal,In reference set,82.42,17.44,5.34,66.74,Yes,2021Q1
WARFARIN,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,6582,1528.7,4.31,6.15,7.53,2.065,Signal,In reference set,83.09,17.11,5.14,67.12,Yes,2019Q2
VARENICLINE,SUICIDAL IDEATION,Psychiatric,2963,787.4,3.76,4.29,5.04,1.851,Signal,In reference set,83.26,17.99,5.87,67.50,Yes,2019Q4
ISOTRETINOIN,DEPRESSION,Psychiatric,3471,1088.0,3.19,3.53,4.25,1.617,Signal,In reference set,83.98,17.92,5.33,65.63,Yes,2020Q2
MONTELUKAST,DEPRESSION,Psychiatric,7253,2456.8,2.95,3.71,4.41,1.523,Signal,In reference set,82.30,17.19,5.75,66.11,Yes,2021Q1
SERTRALINE,HYPONATRAEMIA,Metabolic,2901,978.9,2.96,3.60,3.87,1.506,Signal,Not in reference set,83.87,16.65,5.52,67.60,Yes,2021Q1
LEVOTHYROXINE,ATRIAL FIBRILLATION,Cardiac,3682,1355.5,2.72,3.48,3.71,1.387,Signal,Not in reference set,82.48,17.79,5.46,66.84,Yes,2021Q1
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,3051,1159.5,2.63,2.96,3.25,1.336,Signal,Not in reference set,81.68,16.98,5.87,66.37,Yes,2020Q4
DULOXETINE,HEPATITIS,Hepatobiliary,986,439.9,2.24,2.45,2.51,1.058,Signal,Not in reference set,84.48,16.73,3.75,66.43,Yes,2022Q4
ADALIMUMAB,PNEUMONIA,Infection,1734,788.3,2.20,2.36,2.49,1.057,Signal,Not in reference set,82.64,16.67,5.71,67.99,Yes,2023Q1
PREDNISONE,PNEUMONIA,Infection,2672,1239.4,2.16,2.41,2.54,1.044,Signal,Not in reference set,83.72,17.81,6.29,68.49,Yes,2022Q4
CELECOXIB,MYOCARDIAL INFARCTION,Cardiac,1555,848.4,1.83,1.92,2.00,0.790,Ordinary,Not in reference set,82.83,16.85,5.47,65.85,No,
FUROSEMIDE,ACUTE KIDNEY INJURY,Renal,2009,1123.2,1.79,1.93,1.99,0.765,Ordinary,Not in reference set,83.13,17.32,5.67,66.90,No,
IBUPROFEN,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,2993,1714.9,1.75,1.89,1.97,0.743,Ordinary,Not in reference set,82.06,17.74,5.51,66.15,No,
INSULIN GLARGINE,HYPOGLYCAEMIA,Metabolic,1448,821.1,1.76,1.86,1.92,0.731,Ordinary,Not in reference set,83.70,16.64,6.08,66.37,No,
AZITHROMYCIN,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,1630,1054.0,1.55,1.62,1.66,0.547,Ordinary,Not in reference set,84.54,16.99,5.28,67.79,No,
CLOPIDOGREL,HAEMORRHAGE,Vascular,1442,937.1,1.54,1.61,1.64,0.535,Ordinary,Not in reference set,81.48,15.40,4.65,67.41,No,
TAMSULOSIN,HYPOTENSION,Vascular,1205,831.3,1.45,1.49,1.52,0.440,Ordinary,Not in reference set,83.73,17.51,5.31,67.63,No,
PANTOPRAZOLE,HYPONATRAEMIA,Metabolic,1157,870.1,1.33,1.37,1.38,0.314,Ordinary,Not in reference set,82.37,15.90,6.22,67.16,No,
ROSUVASTATIN,MYALGIA,Musculoskeletal,1939,1548.3,1.25,1.28,1.30,0.250,Ordinary,Not in reference set,84.01,17.48,5.72,68.13,No,
GABAPENTIN,SOMNOLENCE,Nervous system,1633,1305.7,1.25,1.28,1.30,0.241,Ordinary,Not in reference set,83.77,17.33,5.51,65.77,No,
APIXABAN,HYPERKALAEMIA,Metabolic,676,592.1,1.14,1.15,1.16,0.064,Ordinary,Not in reference set,85.21,17.46,6.21,68.20,No,
VARENICLINE,HYPOGLYCAEMIA,Metabolic,625,550.3,1.14,1.14,1.15,0.051,Ordinary,Not in reference set,86.56,18.72,4.48,65.44,No,
ADALIMUMAB,THROMBOCYTOPENIA,Blood,550,483.5,1.14,1.15,1.15,0.045,Ordinary,Not in reference set,81.82,17.45,8.36,63.45,No,
VARENICLINE,PHOTOSENSITIVITY REACTION,Skin,310,264.6,1.17,1.18,1.18,0.041,Ordinary,Not in reference set,86.45,17.74,5.81,66.45,No,
CIPROFLOXACIN,ALOPECIA,Skin,981,894.2,1.10,1.11,1.11,0.028,Ordinary,Not in reference set,82.98,17.64,5.71,65.34,No,
CANAGLIFLOZIN,NEUTROPENIA,Blood,537,477.6,1.12,1.13,1.14,0.027,Ordinary,Not in reference set,82.31,17.69,5.40,64.43,No,
VARENICLINE,ACUTE KIDNEY INJURY,Renal,632,567.1,1.11,1.12,1.13,0.025,Ordinary,Not in reference set,84.18,17.88,6.17,67.25,No,
VALPROATE,MYALGIA,Musculoskeletal,1089,1000.2,1.09,1.09,1.10,0.023,Ordinary,Not in reference set,80.53,16.35,5.23,68.04,No,
HYDROXYCHLOROQUINE,ALOPECIA,Skin,713,645.3,1.10,1.11,1.12,0.020,Ordinary,Not in reference set,81.07,16.83,7.43,64.66,No,
VARENICLINE,SEROTONIN SYNDROME,Nervous system,337,293.3,1.15,1.16,1.16,0.020,Ordinary,Not in reference set,84.57,17.80,6.23,68.25,No,
ADALIMUMAB,ANAEMIA,Blood,892,814.9,1.09,1.10,1.11,0.020,Ordinary,Not in reference set,80.27,14.01,3.25,64.57,No,
ROSUVASTATIN,PANCYTOPENIA,Blood,986,906.6,1.09,1.10,1.10,0.016,Ordinary,Not in reference set,82.76,15.42,5.17,66.94,No,
ALBUTEROL,HYPERTENSION,Vascular,1379,1286.4,1.07,1.08,1.08,0.011,Ordinary,Not in reference set,84.70,17.11,4.06,66.86,No,
ADALIMUMAB,TOXIC EPIDERMAL NECROLYSIS,Skin,197,166.0,1.19,1.20,1.20,0.011,Ordinary,Not in reference set,77.66,14.72,5.08,61.42,No,
CANAGLIFLOZIN,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,817,748.8,1.09,1.10,1.10,0.010,Ordinary,Not in reference set,80.66,18.12,4.77,67.44,No,
GABAPENTIN,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,1277,1189.4,1.07,1.08,1.08,0.010,Ordinary,Not in reference set,82.77,15.35,5.17,65.00,No,
ROSUVASTATIN,TOXIC EPIDERMAL NECROLYSIS,Skin,299,260.2,1.15,1.16,1.17,0.009,Ordinary,Not in reference set,84.95,15.38,5.02,66.89,No,
LEVOFLOXACIN,AMPUTATION,Procedural,472,422.5,1.12,1.13,1.13,0.008,Ordinary,Not in reference set,84.53,15.47,5.30,67.58,No,
DULOXETINE,CONGENITAL ANOMALY,Congenital,225,192.1,1.17,1.19,1.19,0.008,Ordinary,Not in reference set,84.00,15.11,6.67,67.56,No,
LEVOFLOXACIN,CARDIAC ARREST,Cardiac,515,463.6,1.11,1.12,1.12,0.006,Ordinary,Not in reference set,82.72,14.17,4.47,65.83,No,
DULOXETINE,BACK PAIN,Musculoskeletal,1054,979.6,1.08,1.08,1.09,0.004,Ordinary,Not in reference set,81.97,16.70,6.55,68.03,No,
AZITHROMYCIN,ACUTE KIDNEY INJURY,Renal,1059,984.7,1.08,1.08,1.09,0.003,Ordinary,Not in reference set,84.80,18.13,5.85,64.49,No,
ONDANSETRON,FOETAL MALFORMATION,Congenital,687,628.2,1.09,1.10,1.11,0.003,Ordinary,Not in reference set,82.68,14.70,5.97,68.56,No,
ADALIMUMAB,HALLUCINATION,Psychiatric,376,334.0,1.13,1.13,1.14,0.000,Ordinary,Not in reference set,86.17,17.29,6.91,65.43,No,
ISOTRETINOIN,PARAESTHESIA,Nervous system,576,523.8,1.10,1.10,1.11,-0.001,Ordinary,Not in reference set,81.94,17.19,4.17,67.36,No,
SERTRALINE,PYREXIA,General,1623,1535.0,1.06,1.06,1.07,-0.002,Ordinary,Not in reference set,82.62,18.36,5.24,64.76,No,
FUROSEMIDE,URTICARIA,Skin,1372,1291.1,1.06,1.07,1.07,-0.002,Ordinary,Not in reference set,83.16,16.84,5.69,66.62,No,
CELECOXIB,AGGRESSION,Psychiatric,373,332.0,1.12,1.13,1.13,-0.003,Ordinary,Not in reference set,83.65,16.89,6.70,69.44,No,
CLOZAPINE,PANCYTOPENIA,Blood,637,583.1,1.09,1.10,1.10,-0.004,Ordinary,Not in reference set,80.06,16.01,5.18,68.76,No,
AMLODIPINE,SUICIDAL IDEATION,Psychiatric,1998,1904.2,1.05,1.06,1.06,-0.005,Ordinary,Not in reference set,84.03,17.52,5.06,68.87,No,
PANTOPRAZOLE,WEIGHT DECREASED,Investigations,979,913.1,1.07,1.08,1.08,-0.005,Ordinary,Not in reference set,81.72,17.16,3.98,66.60,No,
FEBUXOSTAT,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,853,791.9,1.08,1.08,1.09,-0.006,Ordinary,Not in reference set,81.36,15.94,6.33,65.53,No,
CIPROFLOXACIN,DIZZINESS,Nervous system,1873,1785.1,1.05,1.05,1.06,-0.007,Ordinary,Not in reference set,83.66,18.95,5.98,65.99,No,
ATORVASTATIN,MUSCULAR WEAKNESS,Musculoskeletal,1341,1266.0,1.06,1.07,1.07,-0.007,Ordinary,Not in reference set,84.12,17.52,6.04,66.37,No,
ADALIMUMAB,STEVENS-JOHNSON SYNDROME,Skin,342,303.7,1.13,1.13,1.14,-0.007,Ordinary,Not in reference set,82.46,17.54,6.73,64.33,No,
LISINOPRIL,PANCYTOPENIA,Blood,1199,1128.5,1.06,1.07,1.07,-0.008,Ordinary,Not in reference set,84.32,17.68,4.50,66.22,No,
ATORVASTATIN,SUICIDAL IDEATION,Psychiatric,2009,1919.7,1.05,1.05,1.06,-0.008,Ordinary,Not in reference set,82.68,17.52,6.32,66.00,No,
WARFARIN,ALOPECIA,Skin,1078,1011.0,1.07,1.07,1.08,-0.008,Ordinary,Not in reference set,81.73,15.96,5.57,66.51,No,
CIPROFLOXACIN,CONFUSIONAL STATE,Psychiatric,964,901.3,1.07,1.08,1.08,-0.009,Ordinary,Not in reference set,82.57,16.91,5.81,67.12,No,
IBUPROFEN,VOMITING,Gastrointestinal,2368,2274.4,1.04,1.05,1.05,-0.010,Ordinary,Not in reference set,83.02,18.12,6.04,65.79,No,
AZITHROMYCIN,NAUSEA,Gastrointestinal,2298,2206.4,1.04,1.05,1.05,-0.010,Ordinary,Not in reference set,83.20,16.71,5.92,68.32,No,
CLOZAPINE,ALOPECIA,Skin,703,649.4,1.08,1.09,1.09,-0.010,Ordinary,Not in reference set,83.07,14.65,5.69,66.43,No,
TRAMADOL,BACK PAIN,Musculoskeletal,1197,1128.7,1.06,1.07,1.07,-0.011,Ordinary,Not in reference set,82.04,18.55,5.68,66.17,No,
ROSUVASTATIN,HEADACHE,Nervous system,2327,2236.0,1.04,1.04,1.05,-0.011,Ordinary,Not in reference set,83.63,17.62,5.80,65.45,No,
CLOPIDOGREL,MALAISE,General,1185,1117.2,1.06,1.07,1.07,-0.011,Ordinary,Not in reference set,84.98,19.32,5.06,66.84,No,
PANTOPRAZOLE,PYREXIA,General,1438,1364.4,1.05,1.06,1.06,-0.011,Ordinary,Not in reference set,82.06,15.58,5.98,66.90,No,
WARFARIN,ABDOMINAL PAIN,Gastrointestinal,1844,1762.3,1.05,1.05,1.05,-0.012,Ordinary,Not in reference set,83.46,16.21,5.26,67.08,No,
LISINOPRIL,PYREXIA,General,1996,1912.4,1.04,1.05,1.05,-0.012,Ordinary,Not in reference set,83.47,17.43,5.31,67.43,No,
PREDNISONE,SOMNOLENCE,Nervous system,1382,1311.4,1.05,1.06,1.06,-0.013,Ordinary,Not in reference set,82.34,17.73,4.70,71.06,No,
IBUPROFEN,NEUTROPENIA,Blood,912,853.3,1.07,1.08,1.08,-0.013,Ordinary,Not in reference set,84.32,17.43,6.03,61.29,No,
ATORVASTATIN,PULMONARY FIBROSIS,Respiratory,807,751.5,1.07,1.08,1.08,-0.013,Ordinary,Not in reference set,81.54,18.96,5.70,69.76,No,
ISOTRETINOIN,ANAEMIA,Blood,696,644.2,1.08,1.08,1.09,-0.014,Ordinary,Not in reference set,82.33,18.68,5.75,69.97,No,
ALLOPURINOL,DIARRHOEA,Gastrointestinal,1359,1289.6,1.05,1.06,1.06,-0.014,Ordinary,Not in reference set,81.68,16.41,5.74,66.23,No,
ONDANSETRON,AORTIC ANEURYSM,Vascular,563,516.3,1.09,1.10,1.10,-0.014,Ordinary,Not in reference set,83.66,14.21,5.33,68.38,No,
LEVOTHYROXINE,CONSTIPATION,Gastrointestinal,2146,2063.0,1.04,1.05,1.05,-0.014,Ordinary,Not in reference set,82.67,16.73,5.17,69.43,No,
ROSUVASTATIN,CONFUSIONAL STATE,Psychiatric,1080,1017.8,1.06,1.07,1.07,-0.015,Ordinary,Not in reference set,84.44,19.26,6.11,67.50,No,
ATORVASTATIN,TACHYCARDIA,Cardiac,1676,1601.3,1.05,1.05,1.05,-0.015,Ordinary,Not in reference set,82.58,17.84,5.13,68.68,No,
AMLODIPINE,MALAISE,General,1637,1563.7,1.05,1.05,1.05,-0.016,Ordinary,Not in reference set,82.71,18.39,5.50,69.82,No,
HYDROXYCHLOROQUINE,HYPONATRAEMIA,Metabolic,676,626.2,1.08,1.08,1.09,-0.017,Ordinary,Not in reference set,81.95,15.98,6.66,65.68,No,
ISOTRETINOIN,TENDON RUPTURE,Musculoskeletal,621,573.0,1.08,1.09,1.09,-0.017,Ordinary,Not in reference set,86.15,20.45,6.92,67.47,No,
AZITHROMYCIN,HEPATIC FAILURE,Hepatobiliary,500,456.6,1.10,1.10,1.11,-0.017,Ordinary,Not in reference set,81.00,14.80,6.20,64.40,No,
DULOXETINE,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,972,914.5,1.06,1.07,1.07,-0.018,Ordinary,Not in reference set,83.02,16.05,5.66,67.28,No,
CIPROFLOXACIN,HYPONATRAEMIA,Metabolic,924,867.7,1.06,1.07,1.07,-0.018,Ordinary,Not in reference set,82.47,18.40,5.95,68.83,No,
LEVOFLOXACIN,DRUG INEFFECTIVE,General,1852,1778.3,1.04,1.04,1.05,-0.018,Ordinary,Not in reference set,83.05,18.68,5.67,65.82,No,
CLOPIDOGREL,ABDOMINAL PAIN,Gastrointestinal,1619,1549.8,1.04,1.05,1.05,-0.019,Ordinary,Not in reference set,82.40,17.17,5.81,65.41,No,
CIPROFLOXACIN,OFF LABEL USE,General,1194,1132.6,1.05,1.06,1.06,-0.019,Ordinary,Not in reference set,82.33,18.51,4.36,67.42,No,
CANAGLIFLOZIN,URTICARIA,Skin,858,804.2,1.07,1.07,1.07,-0.019,Ordinary,Not in reference set,85.43,16.67,5.13,66.90,No,
METFORMIN,SUICIDAL IDEATION,Psychiatric,1997,1923.3,1.04,1.04,1.05,-0.020,Ordinary,Not in reference set,83.17,18.03,5.51,67.95,No,
ALLOPURINOL,PANCREATITIS,Gastrointestinal,532,488.3,1.09,1.10,1.10,-0.020,Ordinary,Not in reference set,80.64,17.48,6.20,67.67,No,
SERTRALINE,RASH,Skin,2073,1998.6,1.04,1.04,1.04,-0.020,Ordinary,Not in reference set,83.70,15.63,5.45,66.62,No,
ROSUVASTATIN,URTICARIA,Skin,1343,1279.1,1.05,1.05,1.06,-0.020,Ordinary,Not in reference set,83.40,16.53,5.14,66.87,No,
METFORMIN,DIARRHOEA,Gastrointestinal,2568,2488.8,1.03,1.04,1.04,-0.020,Ordinary,Not in reference set,82.67,16.67,5.10,66.12,No,
PREDNISONE,FOETAL MALFORMATION,Congenital,676,627.7,1.08,1.08,1.09,-0.020,Ordinary,Not in reference set,84.76,21.60,5.62,65.68,No,
LISINOPRIL,ANXIETY,Psychiatric,1963,1890.3,1.04,1.04,1.05,-0.020,Ordinary,Not in reference set,82.88,18.03,5.65,66.84,No,
CLOPIDOGREL,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,1108,1048.9,1.06,1.06,1.06,-0.020,Ordinary,Not in reference set,80.78,14.62,6.14,64.53,No,
ROSUVASTATIN,RASH,Skin,2074,2000.4,1.04,1.04,1.04,-0.020,Ordinary,Not in reference set,83.99,18.56,4.97,67.26,No,
CLOPIDOGREL,HYPERTENSION,Vascular,1181,1120.7,1.05,1.06,1.06,-0.021,Ordinary,Not in reference set,82.22,17.10,6.18,67.32,No,
AMIODARONE,SOMNOLENCE,Nervous system,887,833.1,1.06,1.07,1.07,-0.021,Ordinary,Not in reference set,84.67,16.91,5.75,64.60,No,
SITAGLIPTIN,OFF LABEL USE,General,865,811.7,1.07,1.07,1.07,-0.021,Ordinary,Not in reference set,81.62,17.69,5.66,64.39,No,
CLOZAPINE,DIARRHOEA,Gastrointestinal,1349,1285.8,1.05,1.05,1.06,-0.021,Ordinary,Not in reference set,81.76,17.12,5.86,67.01,No,
AZITHROMYCIN,TACHYCARDIA,Cardiac,1201,1140.5,1.05,1.06,1.06,-0.021,Ordinary,Not in reference set,83.93,16.65,5.83,65.11,No,
CLOPIDOGREL,FATIGUE,General,2065,1992.1,1.04,1.04,1.04,-0.021,Ordinary,Not in reference set,83.44,16.85,6.34,67.22,No,
SERTRALINE,HYPOTENSION,Vascular,1373,1309.7,1.05,1.05,1.06,-0.021,Ordinary,Not in reference set,82.37,17.26,6.63,66.06,No,
PANTOPRAZOLE,CONFUSIONAL STATE,Psychiatric,959,903.9,1.06,1.07,1.07,-0.021,Ordinary,Not in reference set,81.02,15.12,5.94,66.32,No,
FUROSEMIDE,HALLUCINATION,Psychiatric,573,528.4,1.08,1.09,1.09,-0.021,Ordinary,Not in reference set,82.55,15.01,7.16,66.67,No,
METFORMIN,AGGRESSION,Psychiatric,695,646.9,1.07,1.08,1.09,-0.022,Ordinary,Not in reference set,82.59,15.54,6.04,68.49,No,
ATORVASTATIN,DEHYDRATION,Metabolic,1323,1261.4,1.05,1.05,1.06,-0.022,Ordinary,Not in reference set,83.90,17.84,7.33,66.97,No,
ESOMEPRAZOLE,PRURITUS,Skin,1604,1538.4,1.04,1.05,1.05,-0.022,Ordinary,Not in reference set,82.73,17.96,5.05,69.51,No,
IBUPROFEN,FATIGUE,General,2616,2541.1,1.03,1.03,1.04,-0.023,Ordinary,Not in reference set,82.61,16.63,5.77,67.74,No,
MONTELUKAST,PANCREATITIS,Gastrointestinal,915,861.8,1.06,1.07,1.07,-0.023,Ordinary,Not in reference set,80.98,16.07,4.15,67.21,No,
WARFARIN,HYPOGLYCAEMIA,Metabolic,1139,1081.3,1.05,1.06,1.06,-0.023,Ordinary,Not in reference set,82.53,18.35,5.18,65.14,No,
OMEPRAZOLE,DIARRHOEA,Gastrointestinal,2316,2243.8,1.03,1.04,1.04,-0.023,Ordinary,Not in reference set,83.03,17.23,5.27,67.14,No,
LEVOFLOXACIN,HYPOGLYCAEMIA,Metabolic,1009,954.0,1.06,1.06,1.06,-0.023,Ordinary,Not in reference set,83.15,18.33,6.14,64.72,No,
ISOTRETINOIN,MALAISE,General,687,639.7,1.07,1.08,1.08,-0.023,Ordinary,Not in reference set,82.24,16.45,5.24,69.72,No,
OMEPRAZOLE,TENDONITIS,Musculoskeletal,320,286.2,1.12,1.13,1.13,-0.024,Ordinary,Not in reference set,83.44,19.06,6.56,65.31,No,
MONTELUKAST,DIZZINESS,Nervous system,2366,2295.0,1.03,1.03,1.04,-0.024,Ordinary,Not in reference set,84.49,18.01,4.90,65.00,No,
CLOZAPINE,SOMNOLENCE,Nervous system,893,841.0,1.06,1.07,1.07,-0.024,Ordinary,Not in reference set,81.19,16.80,5.82,63.27,No,
ROSUVASTATIN,ARTHRALGIA,Musculoskeletal,1844,1778.3,1.04,1.04,1.04,-0.025,Ordinary,Not in reference set,84.54,18.66,5.15,66.59,No,
VARENICLINE,ANXIETY,Psychiatric,824,774.0,1.06,1.07,1.07,-0.025,Ordinary,Not in reference set,82.77,17.11,5.58,66.38,No,
ADALIMUMAB,ANGIOEDEMA,Skin,540,497.9,1.08,1.09,1.09,-0.025,Ordinary,Not in reference set,82.59,16.85,5.00,66.67,No,
INSULIN GLARGINE,BRADYCARDIA,Cardiac,432,393.7,1.10,1.10,1.11,-0.025,Ordinary,Not in reference set,85.65,18.06,4.40,66.20,No,
METFORMIN,BACK PAIN,Musculoskeletal,1651,1588.3,1.04,1.04,1.05,-0.025,Ordinary,Not in reference set,82.25,16.05,5.15,65.17,No,
ONDANSETRON,HYPOTENSION,Vascular,1375,1315.7,1.05,1.05,1.05,-0.026,Ordinary,Not in reference set,82.33,16.36,5.16,68.73,No,
CLOPIDOGREL,PNEUMONIA,Infection,1144,1088.3,1.05,1.06,1.06,-0.026,Ordinary,Not in reference set,84.00,18.36,6.47,70.19,No,
SITAGLIPTIN,MYOCARDIAL INFARCTION,Cardiac,894,843.0,1.06,1.06,1.07,-0.026,Ordinary,Not in reference set,82.77,14.99,6.71,66.44,No,
SITAGLIPTIN,PHOTOSENSITIVITY REACTION,Skin,365,329.5,1.11,1.11,1.12,-0.026,Ordinary,Not in reference set,80.82,15.89,3.84,68.49,No,
PREDNISONE,NEUTROPENIA,Blood,811,761.8,1.06,1.07,1.07,-0.026,Ordinary,Not in reference set,82.98,15.54,6.17,66.58,No,
LEVOFLOXACIN,HAEMORRHAGE,Vascular,993,940.1,1.06,1.06,1.06,-0.026,Ordinary,Not in reference set,84.49,17.93,4.33,65.56,No,
CANAGLIFLOZIN,PANCYTOPENIA,Blood,614,570.0,1.08,1.08,1.08,-0.026,Ordinary,Not in reference set,82.57,17.92,4.89,69.54,No,
VALPROATE,RASH,Skin,1350,1292.2,1.04,1.05,1.05,-0.027,Ordinary,Not in reference set,82.52,18.00,5.63,66.52,No,
METFORMIN,DEHYDRATION,Metabolic,1321,1263.8,1.05,1.05,1.05,-0.027,Ordinary,Not in reference set,82.44,17.87,5.37,67.07,No,
VARENICLINE,DIABETIC KETOACIDOSIS,Metabolic,492,452.2,1.09,1.09,1.10,-0.027,Ordinary,Not in reference set,85.98,20.73,5.89,66.46,No,
CLOZAPINE,PYREXIA,General,1041,988.2,1.05,1.06,1.06,-0.027,Ordinary,Not in reference set,83.48,18.06,5.67,69.26,No,
PANTOPRAZOLE,PNEUMONIA,Infection,1152,1097.5,1.05,1.05,1.06,-0.027,Ordinary,Not in reference set,82.20,18.06,5.99,66.15,No,
MONTELUKAST,PYREXIA,General,1811,1749.3,1.04,1.04,1.04,-0.028,Ordinary,Not in reference set,83.49,17.78,6.46,65.54,No,
SITAGLIPTIN,DYSPNOEA,Respiratory,1177,1122.3,1.05,1.05,1.05,-0.028,Ordinary,Not in reference set,80.88,17.42,5.78,65.85,No,
ALBUTEROL,SOMNOLENCE,Nervous system,1379,1321.7,1.04,1.05,1.05,-0.028,Ordinary,Not in reference set,84.12,17.33,5.22,67.88,No,
DULOXETINE,PRURITUS,Skin,1393,1335.8,1.04,1.05,1.05,-0.028,Ordinary,Not in reference set,85.36,19.53,6.10,67.26,No,
ALBUTEROL,NEUTROPENIA,Blood,816,767.8,1.06,1.07,1.07,-0.028,Ordinary,Not in reference set,81.74,17.28,6.37,68.63,No,
AMLODIPINE,HYPOGLYCAEMIA,Metabolic,1388,1331.0,1.04,1.05,1.05,-0.028,Ordinary,Not in reference set,81.41,17.87,5.40,67.87,No,
ONDANSETRON,NIGHTMARE,Psychiatric,1065,1012.4,1.05,1.06,1.06,-0.028,Ordinary,Not in reference set,83.10,17.18,5.54,68.45,No,
