Drug,SideEffect,Pair,Quarter,QuarterOrder,SignalScore,Reported,PairOutcome
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2023Q1,8093,0.847,991,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2023Q2,8094,0.878,1075,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2023Q3,8095,0.927,1185,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2023Q4,8096,0.955,1271,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2024Q1,8097,0.990,1371,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2024Q2,8098,1.013,1466,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2024Q3,8099,1.028,1561,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2024Q4,8100,1.042,1644,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2025Q1,8101,1.057,1734,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2019Q1,8077,0.231,16,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2019Q2,8078,0.992,42,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2019Q3,8079,1.396,80,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2019Q4,8080,1.655,128,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2020Q1,8081,1.886,185,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2020Q2,8082,2.137,264,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2020Q3,8083,2.305,351,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2020Q4,8084,2.429,447,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2021Q1,8085,2.496,530,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2021Q2,8086,2.624,667,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2021Q3,8087,2.722,810,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2021Q4,8088,2.815,962,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2022Q1,8089,2.874,1115,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2022Q2,8090,2.919,1259,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2022Q3,8091,2.960,1405,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2022Q4,8092,2.987,1547,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2023Q1,8093,3.014,1676,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2023Q2,8094,3.043,1816,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2023Q3,8095,3.061,1965,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2023Q4,8096,3.076,2111,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2024Q1,8097,3.096,2240,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2024Q2,8098,3.107,2382,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2024Q3,8099,3.112,2508,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2024Q4,8100,3.124,2662,Sustained
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,ALLOPURINOL - STEVENS-JOHNSON SYNDROME,2025Q1,8101,3.132,2814,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2019Q1,8077,0.738,23,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2019Q2,8078,1.719,74,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2019Q3,8079,2.008,132,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2019Q4,8080,2.340,224,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2020Q1,8081,2.467,308,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2020Q2,8082,2.575,417,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2020Q3,8083,2.697,542,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2020Q4,8084,2.785,677,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2021Q1,8085,2.848,804,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2021Q2,8086,2.930,960,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2021Q3,8087,3.024,1160,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2021Q4,8088,3.075,1350,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2022Q1,8089,3.137,1566,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2022Q2,8090,3.193,1792,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2022Q3,8091,3.239,2050,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2022Q4,8092,3.273,2274,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2023Q1,8093,3.306,2493,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2023Q2,8094,3.324,2697,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2023Q3,8095,3.340,2918,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2023Q4,8096,3.362,3146,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2024Q1,8097,3.380,3380,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2024Q2,8098,3.396,3614,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2024Q3,8099,3.406,3838,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2024Q4,8100,3.419,4067,Sustained
AMIODARONE,PULMONARY FIBROSIS,AMIODARONE - PULMONARY FIBROSIS,2025Q1,8101,3.430,4304,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2019Q1,8077,-1.085,20,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2019Q2,8078,-0.449,53,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2019Q3,8079,-0.011,102,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2019Q4,8080,0.253,161,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2020Q1,8081,0.380,223,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2020Q2,8082,0.540,303,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2020Q3,8083,0.674,395,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2020Q4,8084,0.779,508,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2021Q1,8085,0.847,615,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2021Q2,8086,0.927,741,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2021Q3,8087,0.980,866,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2021Q4,8088,1.032,1010,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2022Q1,8089,1.067,1148,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2022Q2,8090,1.098,1292,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2022Q3,8091,1.141,1454,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2022Q4,8092,1.182,1626,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2023Q1,8093,1.213,1797,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2023Q2,8094,1.238,1960,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2023Q3,8095,1.254,2106,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2023Q4,8096,1.278,2273,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2024Q1,8097,1.283,2415,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2024Q2,8098,1.297,2567,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2024Q3,8099,1.315,2737,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2024Q4,8100,1.323,2884,Sustained
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,APIXABAN - GASTROINTESTINAL HAEMORRHAGE,2025Q1,8101,1.336,3051,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2019Q1,8077,-0.066,40,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2019Q2,8078,0.528,112,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2019Q3,8079,0.837,204,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2019Q4,8080,1.106,325,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2020Q1,8081,1.234,448,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2020Q2,8082,1.379,601,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2020Q3,8083,1.471,747,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2020Q4,8084,1.596,949,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2021Q1,8085,1.689,1170,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2021Q2,8086,1.773,1386,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2021Q3,8087,1.839,1634,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2021Q4,8088,1.911,1916,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2022Q1,8089,1.980,2211,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2022Q2,8090,2.027,2491,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2022Q3,8091,2.067,2792,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2022Q4,8092,2.106,3086,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2023Q1,8093,2.133,3400,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2023Q2,8094,2.157,3687,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2023Q3,8095,2.185,4017,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2023Q4,8096,2.201,4315,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2024Q1,8097,2.218,4611,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2024Q2,8098,2.232,4908,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2024Q3,8099,2.244,5216,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2024Q4,8100,2.254,5506,Sustained
ATORVASTATIN,RHABDOMYOLYSIS,ATORVASTATIN - RHABDOMYOLYSIS,2025Q1,8101,2.265,5808,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2019Q1,8077,-3.082,3,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2019Q2,8078,-1.362,11,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2019Q3,8079,-0.824,20,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2019Q4,8080,-0.140,37,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2020Q1,8081,0.577,70,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2020Q2,8082,1.144,122,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2020Q3,8083,1.529,188,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2020Q4,8084,1.796,259,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2021Q1,8085,2.054,358,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2021Q2,8086,2.238,458,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2021Q3,8087,2.372,563,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2021Q4,8088,2.506,695,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2022Q1,8089,2.616,835,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2022Q2,8090,2.733,1010,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2022Q3,8091,2.802,1166,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2022Q4,8092,2.857,1325,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2023Q1,8093,2.912,1493,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2023Q2,8094,2.961,1644,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2023Q3,8095,3.006,1799,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2023Q4,8096,3.040,1959,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2024Q1,8097,3.070,2127,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2024Q2,8098,3.092,2290,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2024Q3,8099,3.117,2464,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2024Q4,8100,3.146,2646,Sustained
CANAGLIFLOZIN,AMPUTATION,CANAGLIFLOZIN - AMPUTATION,2025Q1,8101,3.163,2816,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2019Q1,8077,0.728,35,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2019Q2,8078,1.138,82,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2019Q3,8079,1.617,158,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2019Q4,8080,1.893,259,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2020Q1,8081,2.028,364,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2020Q2,8082,2.149,473,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2020Q3,8083,2.285,619,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2020Q4,8084,2.423,802,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2021Q1,8085,2.510,980,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2021Q2,8086,2.594,1176,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2021Q3,8087,2.668,1395,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2021Q4,8088,2.739,1639,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2022Q1,8089,2.792,1875,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2022Q2,8090,2.857,2163,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2022Q3,8091,2.903,2415,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2022Q4,8092,2.941,2703,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2023Q1,8093,2.979,2965,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2023Q2,8094,3.010,3242,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2023Q3,8095,3.032,3481,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2023Q4,8096,3.043,3705,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2024Q1,8097,3.062,3949,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2024Q2,8098,3.078,4226,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2024Q3,8099,3.088,4475,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2024Q4,8100,3.106,4748,Sustained
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,CANAGLIFLOZIN - DIABETIC KETOACIDOSIS,2025Q1,8101,3.121,5017,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2019Q1,8077,0.709,31,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2019Q2,8078,1.074,75,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2019Q3,8079,1.492,151,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2019Q4,8080,1.624,240,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2020Q1,8081,1.778,353,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2020Q2,8082,1.889,488,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2020Q3,8083,1.942,641,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2020Q4,8084,1.977,787,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2021Q1,8085,2.033,976,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2021Q2,8086,2.070,1181,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2021Q3,8087,2.107,1389,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2021Q4,8088,2.142,1638,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2022Q1,8089,2.175,1905,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2022Q2,8090,2.199,2171,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2022Q3,8091,2.221,2443,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2022Q4,8092,2.240,2720,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2023Q1,8093,2.250,2985,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2023Q2,8094,2.272,3273,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2023Q3,8095,2.281,3530,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2023Q4,8096,2.295,3818,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2024Q1,8097,2.303,4091,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2024Q2,8098,2.306,4337,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2024Q3,8099,2.306,4609,Sustained
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2024Q4,8100,2.315,4915,Sustained
